Vf,Width to Spacing,Thickness to Spacing
0.2545072550078043,0.3083075156452044,0.05719213631847289
0.024142176493542004,0.7503275839369449,0.42122574436777205
0.3442939013987697,0.2674270733630295,0.2554504086604745
0.007879591950414324,0.4028407135103218,0.7391936489181625
0.5802638281041849,0.6004055984250772,0.05688373549357784
0.017998905050466092,0.5566154261039827,0.5838559022833927
0.22841162819429991,0.8304080936022846,0.7616141278140539
0.6734750716808547,0.5469803034712066,0.1549570718671556
0.13090924626610134,0.6906789830817014,0.2980406046022454
0.9336836544375032,0.7608571044363609,0.6298283148312163
0.46376055869226984,0.1549279117368376,0.007562560645946575
0.3966405800018784,0.7096309330261492,0.49153889313019045
0.6013097234431359,0.3035609987409663,0.7953491095056949
0.46212459421615987,0.8277296856797332,0.172346764651691
0.004025760945106929,0.4852069163589273,0.4690460279651668
0.3044175741336284,0.2772682684655735,0.11554366669389127
0.40239817045043075,0.8642526097566922,0.38281164068212276
0.7255028743350769,0.26851080376764885,0.7712802268225879
0.09877506038508772,0.4593021143902011,0.35907886091907987
0.32311943277078276,0.7328034813809721,0.10403897686189326
0.8262805831633129,0.9957141534093117,0.41347553379468005
0.6610610245963078,0.18896822687299372,0.26832209535980833
0.9241081624471558,0.6058542252549238,0.09942896828972571
0.9979090672784643,0.8075274716124512,0.2261290488725255
0.19798302604643464,0.00899060347736977,0.4127317757695457
0.9434627865318125,0.617452290874771,0.1795604636309961
0.5091589709030057,0.04532411889142785,0.5217814921044062
0.03006565985371894,0.5541285392774004,0.5004399470598812
0.7388607971830276,0.5310498234633924,0.36973821471815527
0.47775285196840334,0.6836071582338634,0.4060629006966596
0.9728395399994948,0.4148938290600986,0.044504455637345154
0.9795754114156822,0.3126623408220424,0.46778760301487265
0.8776217675548157,0.27694995362252633,0.29744860789596844
0.04475190690032372,0.013475589187659716,0.5288980182916592
0.2649549730194291,0.6298647032207405,0.23585458053139657
0.8987678208472618,0.27321265314381354,0.912332756713012
0.6571801321982806,0.6395664101637617,0.4925221169249818
0.1759891883398667,0.6178357101226996,0.9603263397342946
0.06806812275025204,0.42572633689273687,0.4753343716158827
0.5140172825933033,0.932613527731612,0.39252526385606673
0.7799096397945796,0.7272309236604924,0.852208494252283
0.5801641130751344,0.11190790404394621,0.3420649828805375
0.22331015505897264,0.059879601424466064,0.42751696731489613
0.6574755175622556,0.3655942496659244,0.7702238184425592
0.3285983515039495,0.4402110921979407,0.5773965916612431
0.3749014156796631,0.334137731308471,0.2053281935339523
0.9907617710847206,0.7344491005796492,0.9518685365000191
0.12247411972660524,0.8227662626729089,0.4081813670502886
0.9547630483820163,0.46992194607352294,0.07283315644519592
0.4747058711803096,0.576977187851582,0.4457009787597898
0.16193119988438945,0.9367944738099713,0.14707194930319864
0.3940176312916325,0.9763371709032256,0.3723944420811425
0.8823129358629216,0.5768216194081136,0.6971276323950536
0.3446088125968213,0.2275954528778356,0.98187302250085
0.7165761371300847,0.9376191116087867,0.4165068653389961
0.42812550399970206,0.2428485890510509,0.09418842665128564
0.20886050953584676,0.9503903706104806,0.5111095821815504
0.28184240307692904,0.9876418957166749,0.8139187976177695
0.29845748542273187,0.9469510542690718,0.13790847596278222
0.28645308781440504,0.6555620500108681,0.680244612609973
